external_urls,href,name,type,uri,id
https://open.spotify.com/artist/6eO95BjZhrWHREMfwC4vVN,https://api.spotify.com/v1/artists/6eO95BjZhrWHREMfwC4vVN,Girls,artist,spotify:artist:6eO95BjZhrWHREMfwC4vVN,6eO95BjZhrWHREMfwC4vVN
https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF,https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF,Burial,artist,spotify:artist:0uCCBpmg6MrPb1KY2msceF,0uCCBpmg6MrPb1KY2msceF
https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf,https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf,Chance the Rapper,artist,spotify:artist:1anyVhU62p31KFi8MEzkbf,1anyVhU62p31KFi8MEzkbf
https://open.spotify.com/artist/5KTykbPcDB4GYS49jcHbWh,https://api.spotify.com/v1/artists/5KTykbPcDB4GYS49jcHbWh,Jessica Pratt,artist,spotify:artist:5KTykbPcDB4GYS49jcHbWh,5KTykbPcDB4GYS49jcHbWh
https://open.spotify.com/artist/4Ui2kfOqGujY81UcPrb5KE,https://api.spotify.com/v1/artists/4Ui2kfOqGujY81UcPrb5KE,HAIM,artist,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,4Ui2kfOqGujY81UcPrb5KE
https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D,https://api.spotify.com/v1/artists/7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,artist,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,7iZtZyCzp3LItcw1wtPI3D
https://open.spotify.com/artist/5eerVxtb9lY9p6D7m89Bs7,https://api.spotify.com/v1/artists/5eerVxtb9lY9p6D7m89Bs7,Jenny Hval,artist,spotify:artist:5eerVxtb9lY9p6D7m89Bs7,5eerVxtb9lY9p6D7m89Bs7
https://open.spotify.com/artist/4aEnNH9PuU1HF3TsZTru54,https://api.spotify.com/v1/artists/4aEnNH9PuU1HF3TsZTru54,Caribou,artist,spotify:artist:4aEnNH9PuU1HF3TsZTru54,4aEnNH9PuU1HF3TsZTru54
https://open.spotify.com/artist/7qbvNcfTfckhCNM8NiR8nN,https://api.spotify.com/v1/artists/7qbvNcfTfckhCNM8NiR8nN,Joyce Manor,artist,spotify:artist:7qbvNcfTfckhCNM8NiR8nN,7qbvNcfTfckhCNM8NiR8nN
https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,https://api.spotify.com/v1/artists/4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,artist,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,4LEiUm1SRbFMgfqnQTwUbQ
https://open.spotify.com/artist/6f5lOlSFJw9K79gaNnmWAd,https://api.spotify.com/v1/artists/6f5lOlSFJw9K79gaNnmWAd,Tirzah,artist,spotify:artist:6f5lOlSFJw9K79gaNnmWAd,6f5lOlSFJw9K79gaNnmWAd
https://open.spotify.com/artist/5BvJzeQpmsdsFp4HGUYUEx,https://api.spotify.com/v1/artists/5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,artist,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,5BvJzeQpmsdsFp4HGUYUEx
https://open.spotify.com/artist/53wZLCnhshZKDRs3uopFBc,https://api.spotify.com/v1/artists/53wZLCnhshZKDRs3uopFBc,Jai Paul,artist,spotify:artist:53wZLCnhshZKDRs3uopFBc,53wZLCnhshZKDRs3uopFBc
https://open.spotify.com/artist/0wz0jO9anccPzH04N7FLBH,https://api.spotify.com/v1/artists/0wz0jO9anccPzH04N7FLBH,Low,artist,spotify:artist:0wz0jO9anccPzH04N7FLBH,0wz0jO9anccPzH04N7FLBH
https://open.spotify.com/artist/6g0mn3tzAds6aVeUYRsryU,https://api.spotify.com/v1/artists/6g0mn3tzAds6aVeUYRsryU,The War On Drugs,artist,spotify:artist:6g0mn3tzAds6aVeUYRsryU,6g0mn3tzAds6aVeUYRsryU
https://open.spotify.com/artist/49gaZqfow2v8EEQmjGyEIw,https://api.spotify.com/v1/artists/49gaZqfow2v8EEQmjGyEIw,Todd Terje,artist,spotify:artist:49gaZqfow2v8EEQmjGyEIw,49gaZqfow2v8EEQmjGyEIw
https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,Bad Bunny,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X
https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR
https://open.spotify.com/artist/4tOVIRjlWWfR1RrAxyRqTE,https://api.spotify.com/v1/artists/4tOVIRjlWWfR1RrAxyRqTE,Chromatics,artist,spotify:artist:4tOVIRjlWWfR1RrAxyRqTE,4tOVIRjlWWfR1RrAxyRqTE
https://open.spotify.com/artist/3KV3p5EY4AvKxOlhGHORLg,https://api.spotify.com/v1/artists/3KV3p5EY4AvKxOlhGHORLg,Jeremih,artist,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,3KV3p5EY4AvKxOlhGHORLg
https://open.spotify.com/artist/69qhRLDvsWJOhWGXXQ0lQQ,https://api.spotify.com/v1/artists/69qhRLDvsWJOhWGXXQ0lQQ,Helado Negro,artist,spotify:artist:69qhRLDvsWJOhWGXXQ0lQQ,69qhRLDvsWJOhWGXXQ0lQQ
https://open.spotify.com/artist/5IWCU0V9evBlW4gIeGY4zF,https://api.spotify.com/v1/artists/5IWCU0V9evBlW4gIeGY4zF,Waxahatchee,artist,spotify:artist:5IWCU0V9evBlW4gIeGY4zF,5IWCU0V9evBlW4gIeGY4zF
